rpid,username,content,likes,date
234658770672,混合蒙特卡洛,今天刚去打卡,4953,2024-07-30 21:42:40
234428323216,橘文乃,我永远喜欢有地绫！[喜欢],4003,2024-07-29 19:47:19
234581202960,皓月and当空,打卡[doge],5401,2024-07-30 14:50:16
234427752640,炎龙天枫,打卡～,4111,2024-07-29 19:45:43
238649867056,赫萝的麦田,茉子天下第一！,2672,2024-08-18 23:40:08
234428905472,拉玛西亚の英梨梨,没玩过千恋万花，看OP这一定是个全年龄游戏吧,4329,2024-07-29 19:50:40
240686845488,没有铭子的人,也是第一次通关了，就是感觉少了点什么,2536,2024-08-28 17:35:23
242397333808,hvwyl,2024中秋节快乐！,2124,2024-09-17 00:03:18
234660375920,BedWars_elilac,0721人正在看[微笑],1384,2024-07-30 21:50:15
234431953568,zjsbfkhdk,永远爱丛雨[给心心][给心心],1085,2024-07-29 20:05:59
234478094080,中医朝,"[脱单doge]轮到我发了
前天刚拍的人有点多",927,2024-07-29 23:50:20
237275268800,萤火虫大王O_o,我去，千原万神！,511,2024-08-12 16:19:08
234461270336,剑影-官服,你怎么知道我刚结束茉子线[微笑],411,2024-07-29 22:26:45
234459136272,拾叁摆烂了,你不选茉子茉子会觉得没关系因为她从来不觉得自己是故事的女主角;你选了茉子茉子会很开心因为她成为了你心中的女主角,362,2024-07-29 22:16:32
238010334224,伪电气白兰地_,茉子，我送你回家了茉子[嘟嘟],252,2024-08-16 01:34:55
234447574976,本居晓铃抄千,国区卖得这么好吗，短短几个月销量又涨这么多。虽然Steam版相对于实体版打骨折，但这个销量在gal里属实厉害,134,2024-07-29 21:22:43
240489361840,狱の茜,逆天Steam,78,2024-08-27 18:36:37
234541841760,白嫖的巅峰i,很快啊[tv_doge],60,2024-07-30 11:21:48
239302639600,byd还挺合适,感谢黑神话悟空让我玩到了千恋万花😭,20771,2024-08-22 01:01:07
241313087536,Unicornl72,有多少人入坑gal是千恋万花开局的，我先举个手[doge],6534,2024-09-04 00:03:42
241772747488,我掩护你送葬,我！是！柚！子！厨！,39,2024-09-09 13:02:47
253124459473,該昵称已存在-_,"春节过来看的都是这个👍🏻
Ciallo～(∠・ω&lt; )⌒★",3354,2025-01-28 23:28:26
254318678096,__---hello---__,半年后有人踢我就入坑玩玩看[蹲蹲],4483,2025-02-03 23:08:10
234438923056,竹中守,柚子厨就像车万，平时见不到，一个官号能钓出来二三十万,3104,2024-07-29 20:41:05
234470805776,like小玉米,我昨天已经好好地调查过朋友之间是怎么打招呼的了,3930,2024-07-29 23:12:25
234488783008,U酱゛,出个外公线吧，柚子厨们什么都会做的😭,8258,2024-07-30 01:00:24
252115301841,HM-Hikari_光影,给我2000个赞，在班上唱这个[doge],5403,2025-01-18 11:24:30
234768844496,SXF-Official,"诶🤓👆🏻
我刚好发现一个可以掉手机的床缝🤓",3486,2024-07-31 12:46:57
234427691856,流松,朝武芳乃天下第一！,2116,2024-07-29 19:44:37
