content,label
JEE这次比赛的发挥有多差，大家都有目共睹，但是你说的几个点我真的支持不起来,2
jee这人挺有意思的，问他空了中了，他说赚了,1
一想到窝里横瞧不起国内穷逼的Jee老师，在国外要吃冰淇淋扮丑逗老外开心，我的泪就止不住??,1
有没有人统计jee不起狙胜率的，我咋印象里不起狙胜率高多了[星星眼],2
钟伟杰该给jee上强度了，这个状态major直邀二阶段也是三场回家的状态,3
首次无缘淘汰赛？看这标题我还以天禄是什么稳进淘汰赛的顶级强队呢,2
充满大嫂的世界到底在哪里～,1
本来没期望能赢faze，但是为什么能输fnc啊[藏狐]这才是最大的问题1v3被接完了,1
"jee：“我可以负责任的说现在留下来打职业的没一个是奔着钱来的”
pee：“你先想想怎么样能比我赚的多吧”",1
我只要看个天禄小镇，只要是jee起个破狙上a二楼就坏了,1
7:03这里锐评的太对了，你根本不知道jee在队内是什么样的选手，辅助辅助没有进攻进攻没有我很怀疑到底有没有练，很喜欢他一句话说经常看小孩demo。,5
&#34;CNCS首次无缘淘汰赛&#34; 好陌生的标题[藏狐],2
其实是5e老板的计谋，天禄被淘汰了，流量队全走了， 完美的CAC就赚不到钱，拖垮竞争对手,2
jee你赚的有我多吗,1
[无限暖暖_毛线汪汪],3
[脱单doge],3
Jee的狙只能说又快又快，有故人资质了,2
jee打的差没人否认，但是你第一波说他不反闪，敢问up玩过游戏吗？闪光要不要丢肯定是取决于队友需不需要，这个队友需不需要肯定是队友自己主动说的，而不是要有闪光的人时刻关注队友那边的情况，更何况这是职业，人家肯定是早练过这个。与其尬黑说jee没有反闪葬送手枪局，你不如说三个a点的人没有沟通，导致这颗闪反慢了，up你不要孤立的看这个反闪阿，你这说的好像jee每个操作都是错的。真好奇up最高上过多少分。,1
哥们，他直播说了:“别喷了哥们儿，你赚的没我多”,2
看这舆论，jee是不是要退役了？,3
[笑哭]要不真把蛋换回去吧，再练练肯定行,2
看直播的时候，老九在看徒弟摸香蕉道出去被直接偷死，回去看是谁丢ci的匪口烟害死了jamy，没错还是jee，气的老九话都不说了,3
感觉总体分析没毛病，就是手枪局确实没信息，感觉不怪jee，剩下的看着是真红啊，感觉最红还是米垃圾那把鞭炮，那个是纯没法洗了（ps：赚的没有jee多,4
"其实Jee的这句话切片应该是一段时间以前的吧，当时没发酵，现在就是打的不好拿出来被翻旧账
打不得好你直接喷他菜就行了，到处发“你能不能把你的狙练练好”——“你先想想怎么赚的比我多吧”感觉挺没脑子的
有些人是玩梗，有些人是串子走到哪儿发到哪儿
感觉国内就是这么个行情，人就应该低调又有实力，但凡你高调了，别让我抓到你失意的时候，你打得不好我新账旧账抓着你算
让我不得不想起隔壁的“陈梦”，就因为一句话被人网暴，第二次奥运冠军把现场打成图书馆是真的很解气
还是希望小将沉淀一下吧，期待下次CNCS更好的发挥",2
"记住那句话
你能让一个逗比站在世界C位 他能逗死你
真正的强者杰米扬你看他闷头干活说了啥
上次夺冠得亏逗比签证问题先去不了
让杰米扬和整支队伍打好状态
后来逗比一来就上顺风车捧杯而已",2
最离谱的是jee这人从23年开始狙击水平没有一次进步,1
说句Tyloo粉丝不爱听的，jee就是性价比冬瓜强,1
"别说jee了,woxic,wonderful,hallzerk,ultimate这几个所谓强队狙哪个是稳定的?molodoy天才少年,跟navi五场打下来空的也是多,职业赛场里狙真的难玩.洗完回来,jee作为狙击手确实很多时候可以考虑换步枪打了,至少是T方开可以多尝试拿ak而不是狙",2
up，你天天操心CNCS战队怎么怎么样，你有JEE赚得多吗[笑哭][笑哭],2
给我这个先申请互动在zywoo尸体上做蹲起喷漆，导致zywoo被网暴不解释清楚反而含糊其辞说视角问题自己装的冰洁玉清 aoe水友赚的没自己多，8月17号还在玩老板的刀，8月15号就和老板刚分手半个月的前女友去酒店被水友撞见，著名采访goat，米垃圾警家连空8枪，空之轨主理人，在镜头面前挤眉弄眼表演型人格，cs职业赛级嘉豪，令主播跪求别起狙的传奇顶流狙神jee看笑了??给我这个先申请互动在zywoo尸体上做蹲起喷漆，导致zywoo被网暴不解释清楚反而含糊其辞说视角问题自己装的冰洁玉清 aoe水友赚的没自己多，8月17号还在玩老板的刀，8月15号就和老板刚分手半个月的前女友去酒店被水友撞见，著名采访goat，米垃圾警家连空8枪，空之轨主理人，在镜头面前挤眉弄眼表演型人格，cs职业赛级嘉豪，令主播跪求别起狙的传奇顶流狙神jee看笑了??给我这个先申请互动在zywoo尸体上做蹲起喷漆，导致zywoo被网暴不解释清楚反而含糊其辞说视角问题自己装的冰洁玉清 aoe水友赚的没自己多，8月17号还在玩老板的刀，8月15号就和老板刚分手半个月的前女友去酒店被水友撞见，著名采访goat，米垃圾警家连空8枪，空之轨主理人，在镜头面前挤眉弄眼表演型人格，cs职业赛级嘉豪，令主播跪求别起狙的传奇顶流狙神jee看笑了??给我这个先申请互动在zywoo尸体上做蹲起喷漆，导致zywoo被网暴不解释清楚反而含糊其辞说视角问题自己装的冰洁玉清 aoe水友赚的没自己多，8月17号还在玩老板的刀，8月15号就和老板刚分手半个月的前女友去酒店被水友撞见，著名采访goat，米垃圾警家连空8枪，空之轨主理人，在镜头面前挤眉弄眼表演型人格，cs职业赛级嘉豪，令主播跪求别起狙的传奇顶流狙神jee看笑了??,1
国内缺能兜底的人，我发现天禄基本上在赛场不缴对面枪的[笑哭]而且残局能力太差了，就没有人能一打五，不是一块上的那种,3
毒叶简直是叶圣啊自己狙这么强还让JEE做主狙,2
"最抽象的是：
上一次打裂变天地s2比赛，和在荒漠迷城把白菜打红温开爆的那次比赛，第二局打的炼狱小镇，jee连续两次，不知道且没有意识到“匪从出身位到VIP下的最速时间”；更离谱的是，这个小丑??还嬉皮笑脸的来了一句“握草，我不知道对面能这么快”。这些基本常识，天梯玩家可以没有，职业哥也可以没有吗？
再结合他这次比赛，十次有八次在二楼，既然对二楼这么痴迷，怎么这个熟练度和基本常识却不具备？
他还有b脸和国内玩家对爆说“你有我挣得多吗？大哥”典型的，没本事，没决心，没魄力，最后只剩嘴了。和某足一个德行。",1
你问他为什么空？他会说你挣得没他多，就这么简单[笑哭],1
ds锐评jee,3
其实吧，这还真不怪jee，因为打比赛的时候不让放追梦赤子心,2
j神狙很奇怪，尤其是小幅度甩狙时总是先开枪后定位，像是章鱼食指也有个脑子在操控觉得要开火，手腕则是大脑在操控觉得要瞄准，很不协调看着难受,3
能不能别带我ezboy、讨喜boy、冰淇淋boy、玩嫂boy、赚得多boy、爱空枪boy、不吃资源辅助狙boy、阳光开朗boy、队内开心果boy的节奏啦？[生气],2
别尬黑我世界首个小镇100%胜率拔网线回防战术创始人啊[汤圆],2
