content,label
猫猫会不会认为自己是狗啊[思考],3
抱抱晶莹剔透的大鼻涕泡真可爱[脱单doge],5
为啥你们家狗感觉自己不会喝水还要督促的喝,3
么么和高高抱抱在一起的时候好治愈呀！啵啵和菜鸡是不是都喜欢各自各自待着。,5
完全同化了！[偷笑],5
为啥我们家猫只会偷偷溜到狗后面，猛地对狗狗来一巴掌，然后一场恶战就又开始了。。。[辣眼睛],4
挺好的，就是不能随便吸猫，容易吸到狗狗的哈喇子[doge],4
感觉猫猫是把自己当成狗狗了，因为和两只狗狗一起长大，它可能会以为自己也是一只狗[喜极而泣][喜极而泣][喜极而泣],3
每次看up视频都觉得好温馨[tv_点赞],4
一家都喜欢吃蔬菜，活该是一家子[doge],5
白色猫猫啥品种啊，呜呜，好美丽,3
感觉这个视频里面么么的动态之前的视频里面是分开都有的嗷[doge]大美女有空再来一点物料吧,4
猫猫眼睛好漂亮啊，颜色和琥珀一样,5
好羡慕啊，我们家两只猫天天追着狗打，我们家狗一天到晚盯着那两只猫。两个跟仇人一样,4
金毛的性格真是好,5
大哥，二哥，三妹…………[OK],4
这是不是你们理想中的猫狗双全的生活[doge],5
好可爱[洛天依][洛天依][洛天依],5
太棒了,6
一定要看一定要看一定要看：亲爱的作者，您好，我是授权维修小达人，你在视频中运用的音乐是出自一款游戏中的音乐，他的作者Tobyfox曾说过不希望自己的音乐运用在不是关于这款游戏的任何一个视频中，而是希望更多的人用他的音乐创造出同人跟视频大大应该是外圈人员，还不知到这些，所以不强求大大换个音乐当然，换个音乐我会很开心，只希望大大别再用Tobyfox的音乐创造无关那个游戏的视频，我该说的都说完了，希望大家身体健康，［如果是同等的话，希望我们可以一起维护这款游戏的音乐版权，转发给外圈的小伙伴，和内圈不知道的小伙伴］,4
亲爱的up，您好，您在片尾用的音乐是传说之下里边儿的背景音乐，原作者曾经说过，希望自己的曲子用在关于传说之下的地方，无关紧要地方请不要用了，这属于版权问题，改个音乐用不了多久，或者说以后请就别再用传说之下的音乐了,1
盲猜有人在屏幕前露出姨母笑，我不说是谁[doge][doge][doge],5
养了一只猫，但确是同时养了一只猫和一只狗[脱单doge][脱单doge],4
猫咪对于狗子来说还是太弱小了，兄弟们平常看的那些猫猫伸爪打狗狗的视频看了就算看看吧，哪怕偏小型犬也能一口咬定猫咪的脖子。一个星期前，我家小三花就被我家狗一口咬死了。哪怕是以温顺著称的金毛里也有脾气不好的，特别是在喂食时，一定要将两者分开。那时候我真是哭了一下午，平常狗子对主人很温顺，我知道狗子护食，但也不对主人护，本来养猫的时候也有警戒，但活物哪能一直抱着不让动，小猫咪亲人亲狗，悲剧发生时我脑子都不会转了。,3
这里跟阿婆主说一下子，背景的那首歌的原主，他不希望关于他游戏的歌被用在不属于，关于他游戏的视频里面和别的地方,1
狗子7岁的时候我家养了一只奶猫，上个月狗子十三岁回汪星了，我家猫每天到处找他，连饭都不怎么吃，所以猫狗之间也是有友情的,3
说到底还是你家抱抱性格好[脱单doge],3
大狗配小猫才可以和谐，小狗配大猫的话小狗能委屈死。,3
