content,label
确实大,4
哈哈，右上角不会是那个漫画吧？小白这么懂！,5
"图形处理软件——美图秀秀
压缩包处理软件——2345好压
社交聊天软件——微信（手机版）……
看来看去，好像最有用的是雷军的WPS[笑哭][笑哭]",2
其实真的很好奇，能打游戏吗和剪视频吗,3
早～ 上班途中正好来看看华为新出的鸿蒙电脑如何！,5
富哥的大玩具[吃瓜],2
我先来，跟华为沾边儿，一看就没什么用[傲娇],3
现在还很清净，水军冲击时踢我一下，来看赛博斗蛐蛐[doge][doge][doge],3
"周边硬件没得说，双层柔性OLED，28瓦性能释放，成本怕是非常高
最大问题就是生态了，感觉能用起码得等五年
可惜华为用不了intelAMD和windows了，不然这玩意装上AMD的U那就是真神了",3
感觉像奢侈品了,3
"以前的数码科技爱好者是会幻想未来感的产品形态，看到一个新玩意或者黑科技会想了解它是怎么玩，背后又是怎么做出来的。
可现在的“高素质数码科技爱好者”似乎连把玩欣赏新玩具的乐趣都彻底丢失了，眼里只剩下几个品牌logo和虚无的捧踩大战了……
叠甲，我现在用的小米手机，“华为硕士”幻14笔记本和macbook，华为平板……回归产品本身，能看到让人眼前一亮或是有惊艳感的电子产品本身难道不是一件有意思的事吗？退一步讲，这玩意现在生态不成熟，实用性差，但它又不会影响我去买到便宜实用的常规win笔记本。幻X，visionpro……太多的产品我都根本不会去购买，但我不觉得这些东西被设计制造出来是个错误，也不会觉得买它们的人就是脑子不正常。我希望有能力的厂商去探索设计各种新鲜的东西，反正又不用我承担研发代价。卷配置和创新都是有意义的事。",6
[doge_金箍],3
已经入手了，十几年苹果老用户想转投华为了，手里mac和windows本都有，纯粹是买来体验新产品的，拿到手确实很震撼,7
高考前最后一期[洛天依·戏游九州动态_收到][洛天依·戏游九州动态_收到],3
第一次看电脑评测不说硬件参数的,2
《全球计算机水平降低一万倍，而我展示窗口切换惊呆全球》,1
国产做什么都要被喷的，想起了以前的屏幕，只要用国产屏幕各种喷，用三星边角料就是nb，[抠鼻],5
这玩意服务群体是…,3
华为内部全用这电脑，视频也不剪了，系统也不开发了，工程文件也不看了，微信也不装了，每天上班就是切换页面，太酷了,0
"我又想起了前几天出的一张梗图：高考考完后一群小登带着老登买电脑完事发现游戏全都不能用
[doge]",1
线下看了，股票软件是平板的版本[藏狐],3
评测一下性能不方便吧,2
也就半个机盖的💰,3
新系统适配烂不是人尽皆知的事情么，但总有一些用户是多持或者需求是能被当前适配水平覆盖的，电脑买来后就看个网页、图表、视频、qv的用户真不少，像我也是干活打游戏用win、躺床上看东西用mba，不就图个轻薄好屏又没风扇嘛，这步跨出去，兴许能慢慢做起来，迈不出去就注定永远都会那么垃圾。,4
其实没必要老阴阳性能，那苹果芯片性能那么牛逼，近些年也没见有啥创新呀，螳螂有句话说的好，改变就是好事，你总比啥都没有强吧，如果你以后有钱了，你起码还能有的选择，而不是只能在一堆平平无奇的平板机里选，你总不能觉得自己就没机会出人头地了吧,4
绷不住了，最具生产力的软件是雷军的WPS，哈哈哈[笑哭][笑哭][笑哭][笑哭][笑哭],1
我觉得这玩意比三折叠性价比高，讲真,5
一群人带节奏这不是电脑是平板，你们tmd说出来定义啊，大屁股显示器时代那也叫电脑你们咋不用呢，为什么它被淘汰了呢，更轻更薄更便携就是主旋律，多背着你们的游戏本跑来跑去（不累，一点也不累[吃瓜]），这时候就要用你们常说的那句话，别的厂商不跟是不喜欢还是做不出来呢？,4
绝口不提的性能,2
"评价：
你想要软件生态，选win
你要打游戏，选win
你要生产力，选win或者mac
你喜欢便携，选win掌机，win 2合一笔记本
你喜欢华为……那么，用华为的旗舰手机和在上面选一个
你喜欢支持国产，那么看看兆芯（x86_64架构的芯片）
所以，这个电脑有什么市场是可以占的，卖给谁?",1
我先来，什么你的logo是hw？那你这个产品肯定不行[蹲蹲][蹲蹲][蹲蹲],2
性能续航是什么不可言说的东西吗,2
