content,label
金主赚翻了，这质量也太离谱了[雫るる_爱],7
"希望大家新的一年 愿望都可以实现～
奶糕之后结婚的话！望幸福我们全包
（咱就不提因为新演员睡觉视频延期的事情了",6
等鼠鼠追到老婆就可以一次性吃俩了，糕，真糕。[脱单doge],5
有那么一瞬间，我怀疑我在看迪士尼动画，真的，分镜构图，那种天马行空的想法，很有迪士尼那味道,7
事实证明，群众们不是讨厌广告，而是讨厌劣质，低下，无脑的广告，如果每一个广告都是这样有趣，群众愿意接受，效果也会不错，感谢金主,6
兄弟们明年见[doge],5
猫和老鼠把狗[doge]骗进来杀 [大哭],5
糕糕会演戏不奇怪，毕竟是老演员了，这个新演员鼠鼠竟然也这么会演！up不去做星探可惜了,5
投了币都感觉自己在白嫖是怎么回事[热词系列_知识增加][热词系列_知识增加],7
憋了一个这么大的活！我姑且原谅你了！,5
甜7🌸:糕糕，我要给我男朋友求婚，你可以帮我嘛[妙啊][妙啊],5
这质量也太高了吧，两天之内必上热门前五，我说的[傲娇],7
解锁新角色[热词系列_知识增加],5
"感谢@造物师老王  提供的扑克牌发射器.
感谢@TTTransistor  画的插画.
视频拍的我快秃了，被两个演员害惨，希望有个圆圆的东西.
视频里的食物除了过期的都吃掉了.
[doge][doge]",6
米糕：看来是和我同类型的舔狗呢[抠鼻],5
"糕德地图为您导航：
本期视频出现以下回忆杀
03:31 这只布偶是奶糕没追到的女神https://www.bilibili.com/video/BV1y7411m7Xj/
03:39 https://www.bilibili.com/video/BV1bw411Z7nY/
05:42 罗小黑的杯子https://www.bilibili.com/video/BV155411a7s1/",5
运镜太强了，真的好有真人动画电影的感觉qaq,5
视频最后那个奶糕跟老鼠的绘画合照，画的太有爱了！许愿阿婆主能看到这个评论，并且放出原画，这个新年愿望能实现吗？哈哈哈哈哈，最后也祝阿婆主新年快乐，健康幸福！,6
"67￥xjFH2YgvsT7￥ https://m.tb.cn/h.fQ2p7AL  
链接来啦～希望大家年年有好望",5
"我想给up投币
给＝give[OK]
give up投币[傲娇]
give up  ＝放弃[脸红]
放弃投币[doge]",5
一开始以为是国外油管的，但后来发现是up本人制作，让我没反过劲来，但我们国内不就需要这种有创意，质量上乘的作品嘛！希望B站像这样的up越来越多，而不是转自XX管[2022],5
看到这个视频才意识到，自己早就把b站当成短视频网站刷了，如此高技术力高质量的片子好久没看了，2022第一次四连给你了！[藏狐][热词系列_三连],5
这才是百大up的水平，昨天看到某百大up整的活给我尬死了[藏狐],5
对奶糕成精档案社的喜欢就像是尿裤子，所有人都看的出来，但只有自己才能真正感觉到那股暖意[给心心][给心心][给心心][给心心][给心心],6
鼠鼠的救赎[藏狐],5
第一次刷到奶糕的视频，成年以后很少被这么具有童趣的作品感动到了，真的是老少咸宜的具有温情和趣味的好视频，爱了。这股浓浓的猫和老鼠的味道和天马行空的想象，画面感柔和清新，猫咪和小鼠可爱有演技（阿婆主拍摄水平高），真的是难得一见的用心制作的高质量作品，这样有质量和诚意的视频，即便是恰饭视频也不会让人有违和感，广告和视频内容结合相辅相成，结合巧妙，希望阿婆保持水准，加油！,6
 我要带着我家的小猫走遍整个小猫的视频[打call],5
"虎年祝大家
椎骨、胸骨、颅骨、骶骨，骨骨生威；

背肌、胸肌、颈肌、躯干肌，块块有力；

消化、呼吸、循环、泌尿、生殖、运动、神经、内分泌，八大系统团结友爱；

静脉、动脉，六脉调和；

体循环、肺循环、血液循环、体液循环，环环通畅；

右心房、右心室、左心房、左心室，心心向荣；

中枢神经系统、周围神经系统、躯体神经、内脏神经，协调运作、神清气爽。 

祝福从延髓出发，沿着迷走神经穿过颈静脉孔，出颅绕左锁骨下动脉，越主动脉经左肺根，达第六胸椎左前方那个叫心脏的角落汹涌而出：虎年快乐！空气分子振动通过鼓膜，顺着听小骨，通过内耳毛细胞点燃蜗螺旋神经节内的双极细胞，沿着蜗神经经蜗神经腹核和背核经蜗神经腹核和背核经斜方体并交叉上行，经下丘，内侧膝状体，经听辐射，通过内囊到达颞叶颞横回，让我们听到了新年的钟声。夜幕中的光线打到视网膜，经视锥细胞和视杆细胞，双极细胞，来到节细胞，通过视神经，视交叉，视束，外侧膝状体，视辐射止于距状沟周围皮质，绚丽的焰火展现在我们脑内。距状沟周围皮质的神经元将焰火经角回，wernicke区，弓状束，来到broca区，经中央前回，通过皮质脑干束，经内囊膝部下行至脑干，到达面神经核下部和舌下神经核，控制着舌，大声疾呼：虎年，过年好！
新年祝大家：
电势 磁势 引力势 事事得势
重力 弹力 摩擦力 处处给力
匀速 加速 超音速 致富加速
动能 势能 机械能 万事皆能
质心 重心 几何心 天天顺心
强电 弱电 交流电 秒秒来电
重子 轻子 中微子 龙门贵子
虚像 实像 等大像 人人福像
叉积 点积 内外积 财运累积
积分 差分 偏微分 门门满分
动量 冲量 作用量 前途无量
恒星 行星 脉冲星 满天福星
阴极 阳极 南北极 登峰造极
电场 磁场 规范场 宏大气场
有机 无机 永动机 无限商机
自转 公转 螺旋转 行行玩转
平面 曲面 抛物面 有里有面
散度 旋度 自由度 大方有度
牛顿 莱顿 哈密顿 大吃一顿
三维 四维 十一维 精准思维
气流 湍流 交直流 一代风流
直角 锐角 倒三角 全做主角
固态 液态 双稳态 万方仪态
氢气 氦气 电子气 扬眉吐气
固体 气体 半导体 处处得体[doge]",5
奶糕：我不是得不得奥斯卡奖的问题，而是得几个的问题[doge],5
tnnd，你为什么不恰点饭！不恰饭怎么多更新！恰啊，恰啊，为什么不恰！,5
糕 实在是糕[抱拳],5
半年更区up主，xdm六个月后见,5
视频做的还凑合吧，运镜技巧啥的还行，不过感情上感觉还是差了点儿，可能还是经历太少的原因，这样，你私信我加我微信，我当你对象[OK],3
太可爱了吧，两位演员配合不错哟,6
怎么做到热门榜力压百大直播稳坐第一的[藏狐][doge],5
我们家小九～很喜欢看～,6
"甲方爸爸们看到了吗？
这个up主的推广这么nice！
还不快点找上门来？给的多up主才有更新的动力啊！[脱单doge]",5
建议把广告挪到中间去，最后一秒放广告词可能会看不到，另外，这玩意成功的让我记住了这个牌子，就单凭这个视频，劳资也得买一瓶尝尝味,5
我焯 我怎么才发现这个up 这也太牛了我靠 真的好牛逼 投了币都觉得在白嫖 这也太离谱了这个质量,7
飞牌器能参与大制作，也是十分的荣幸！,5
广告如果有这质量，谁还看电视剧啊。[doge][doge][doge],5
